alpha-3;nom;nomb
TWN;TAÏWAN, PROVINCE DE CHINE;TAÏWAN, PROVINCE DE CHINE
TZA;TANZANIE, RÉPUBLIQUE UNIE DE;TANZANIE, RÉPUBLIQUE UNIE DE
TCD;TCHAD;TCHAD
CZE;TCHÉQUIE;TCHÉQUIE
ATF;TERRES AUSTRALES FRANÇAISES;TERRES AUSTRALES FRANÇAISES
THA;THAÏLANDE;THAÏLANDE
TLS;TIMOR-LESTE;TIMOR LESTE
TGO;TOGO;TOGO
TKL;TOKELAU;TOKELAU
TON;TONGA;TONGA
TTO;TRINITÉ-ET-TOBAGO;TRINITÉ ET TOBAGO
TUN;TUNISIE;TUNISIE
TKM;TURKMÉNISTAN;TURKMÉNISTAN
TCA;TURKS ET CAÏQUES, ÎLES;TURKS ET CAÏQUES, ÎLES
TUR;TURQUIE;TURQUIE
TUV;TUVALU;TUVALU
UKR;UKRAINE;UKRAINE
URY;URUGUAY;URUGUAY
VUT;VANUATU;VANUATU
VEN;VENEZUELA, RÉPUBLIQUE BOLIVARIENNE DU;VENEZUELA, RÉPUBLIQUE BOLIVARIENNE DU
VNM;VIET NAM;VIET NAM
WLF;WALLIS-ET-FUTUNA;WALLIS ET FUTUNA
YEM;YÉMEN;YÉMEN
ZMB;ZAMBIE;ZAMBIE
ZWE;ZIMBABWE;ZIMBABWE
